"Letzte Änderung: 5.6.2026, 18:41:09",Aktionspackung,,,abgelaufen,,,,,,,,,,
,"Anheuser-Busch Bud
- Flaschen Sixpack 6x0,3l
- Einzelflasche 0,3l
- Dosen Sixpack 6x0,33l
- Einzeldose 0,33l
- Einzeldose 0,5l",-,-,19.07.2026,19.07.2026,-,,nein,Foto/Scan,nein,https://scan.anheuser-busch-bud.de/qr/c29d91/landing,https://www.mydealz.de/2776393,Zahlungsdienstleister: Novalnet AG,07.05.2026
,"Soda Libre The Classics Lemonade 
Zitrone oder Orange
min. zwei 0,33l Dosen
max. 2,18€ Erstattung",-,-,31.07.2026,07.08.2026,-,,nein,Foto/Scan,nein,https://www.sodalibre-gratistesten.de ,https://www.mydealz.de/2733998,"caspar company GmbH
Zahlungsdienstleister: Continental Payment GmbH",03.03.2026
,"Wasa Selection Knäcke
- Protein+ 200g
- Mohn & Meersalz 245g
- Chia & Meersalz 245g
max. 2,49€ Erstattung",40.000 Teilnehmer insgesamt,-,31.07.2026,31.07.2026,,,nein,Foto/Scan,nein,https://www.wasa.com/de-de/aktionen/active/gratistesten-selection/,https://www.mydealz.de/2739267,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",03.03.2026
,"WASA Crunchy Bites 
- Sour Cream & Onion 100g 
- Cheddar 100g
max. 2,19€ Erstattung",40.000 Teilnehmer insgesamt,-,31.07.2026,31.07.2026,,,nein,Foto/Scan,nein,https://www.wasa.com/de-de/aktionen/active/gratistesten-crunchybites/,https://www.mydealz.de/2761516,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",03.03.2026
,"ANDROS Be Nuts! 
- Erdnusscreme Creamy 325g
- Erdnusscreme Crunchy 325g
- Erdnusscreme Kakao 335g
- Erdnussmus 100% 320g","5.000 Teilnahmen pro Monat, 20.000 Teilnahmen insgesamt",jeweils ab 08:30 Uhr,31.07.2026,31.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://andros-be-nuts.de/pages/gratistesten,https://www.mydealz.de/2730139,HRZN GmbH,16.02.2026
,"Bad Liebenwerda Mineralwasser+ Limette-Minze 
0,75l Glasflasche",-,-,31.07.2026,31.07.2026,-,,nein,Foto/Scan,nein,https://www.bad-liebenwerda-cashback.de,https://www.mydealz.de/2772853,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",05.05.2026
,"Cillit Bang Expert Kraftreiniger
- Kalk & Schmutz 750ml
- Bad & Dusche 750ml oder 1000ml",250 Teilnahmen täglich - 12.000 Teilnahmen insgesamt,täglich ab 09:00 Uhr,31.07.2026,31.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto,ja,https://www.cillitbang-gratis-testen.de,https://www.mydealz.de/2774776,JustSnap GmbH,05.05.2026
,"Calgon 4in1 Wasserenthärter Gel 750ml
max. 4,49€ Erstattung","Mai: 400 Teilnehmer täglich, Juni: 250 Teilnehmer täglich, Juli: 150 Teilnehmer täglich - 25.000 Teilnehmer insgesamt",täglich ab 09:00 Uhr,31.07.2026,31.07.2026,-,,nein,Foto,ja,https://calgon-gratis-testen.de,https://www.mydealz.de/2774857,JustSnap GmbH,05.05.2026
,"Teinacher Mineralwasser+ Kiste 0,75l 
(nur lokale Verfügbarkeit!)

max. 10€ Erstattung",unbekanntes (monatliches) Budget,,31.07.2026,31.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://www.teinacher-cashback.de,https://www.mydealz.de/deals/gzg-lokal-bawu-umgebung-teinacher-wasser-kiste-gratis-testen-cashback-bis-1000-eur-2788544,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",02.06.2026
,"COTTONELLE Feuchtes Toilettenpapier 
Ultimativ Frisch 42 Tücher

max. 1.79€ Erstattung","604 Teilnehmer pro Tag - 
36.871 Teilnehmer insgesamt",täglich ab 08:00 Uhr,31.07.2026,15.08.2026,-,nein,nein,Foto/Scan,nein,https://cottonelle-aktion.de/cashback,https://www.mydealz.de/2788354,SAVI Marketing GmbH,02.06.2026
,always Discreet Inkontinenz Maxi,-,-,31.07.2026,15.09.2026,-,,nein,Foto,ja,https://www.for-me-online.de/always-discreet,https://www.mydealz.de/2757299,JustSnap GmbH,01.04.2026
,Ben's Original Street Food Fertiggerichte ,"500 Teilnehmer pro Tag - 
38.500 Teilnehmer insgesamt",täglich ab 09:00 Uhr,02.08.2026,02.08.2026,-,Online- Teilnahme,nein,Foto,nein,https://bens-streetfood-gratis-testen.de,https://www.mydealz.de/2780510,"acardo group AG
Zahlungsdienstleister: Novalnet AG",19.05.2026
,"FELIX Doppelt Lecker Katzennahrungsprodukte
1x Trockenprodukt & 1x Nassprodukt kaufen
max. 7€ Erstattung

ab 22.6.26",Gesamtbudget: 65.000€,-,02.08.2026,09.08.2026,bis zur Erreichung des Teilnehmerlimits,Online- Teilnahme,nein,Foto/Scan,nein,https://www.purina.de/felix/testen,https://www.mydealz.de/2788993,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",04.06.2026
,"Zott Pure Joy Joghurtalternative
bis zu zwei Produkte pro Person 
pro Haushalt bis zu drei Mal möglich
max. 1,98€ Erstattung pro zwei Artikel",1.111 Teilnahmen pro Woche - 28.886 Teilnahmen insgesamt,montags ab 09:00 Uhr,31.08.2026,31.08.2026,-,,nein,Foto/Scan,nein,https://purejoy-gratis-testen.de,https://www.mydealz.de/2741802,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",03.03.2026
,"Deli Reform Omega-3 Daily 
rein pflanzliche Halbfettmagerine","100 Teilnehmer pro Tag
9.000 Teilnehmer insgesamt",,31.08.2026,31.08.2026,,,nein,Foto/Scan,nein,https://www.deli-gratis-testen.de,https://www.mydealz.de/2785453,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",01.06.2026
,"WC-Ente Frische-Siegel Halter

ab 13.7 exklusiv bei dm-drogerie markt
ab 20.7. bei allen anderen Händlern ","714 Teilnehmer pro Tag
40.000 Teilnehmer insgesamt",täglich ab 7:00 Uhr,05.09.2026,13.09.2026,-,Online- Teilnahme,nein,Foto/Scan,nein,https://wc-ente-aktion.com,https://www.mydealz.de/2780564,SAVI Marketing GmbH,19.05.2026
,"Zott Monte Ice Cream
max. 5,49€ Erstattung - per wöchentlicher Auslosung!",200 Teilnehmer pro Woche - 5.000 Erstattungen insgesamt,montags ab 00:00 Uhr,28.09.2026,28.09.2026,-,,nein,Foto/Scan,nein,https://monte-eis-testen.de,https://www.mydealz.de/2737030,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",08.04.2026
,KÜHNE Spice it up Würzsaucen 90ml,10.000 Teilnehmer insgesamt,-,31.12.2026,31.12.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://kassenbon-aktion.de/spice-it-up,https://www.mydealz.de/deals/gzg-kuhne-spice-it-up-wurzsauce-gratis-testen-2764431,"IMPLIZIT GmbH
Zahlungsdienstleister: secupay AG",14.04.2026
,ROYAL CANIN Tiernahrung,-,-,31.12.2026,31.12.2026,-,,Begründung,Foto/Scan,nein,https://www.royalcanin.com/de/about-us/acceptance-guarantee,https://www.mydealz.de/2571752,Kjero GmbH,12.03.2026
,"ROCKSTAR Mocktail 0.33L EW Dose

pauschale Erstattung von 1.19€ (exkl. Pfand) - drei Teilnahmen pro Teilnehmer möglich",2.500 Einlösungen pro Woche - 100.000 insgesamt,-,30.06.2026,28.02.2027,-,nein,nein,nur Code,nein,https://www.rockstarenergy.de/mocktails-aktion,https://www.mydealz.de/2790687,"G.V.K. mbH
caspar company GmbH
Zahlungsdienstleister: secupay AG",05.06.2026
,"PLATINUM Hundefutter
Rückgabe bei Nichtgefallen 
kostenlose Abholung",-,-,Daueraktion,-,max. 100 Tage,,Begründung,Original,nein,https://www.platinum.com/Geld-zurueck-Garantie/,,PLATINUM GmbH & Co. KG,23.04.2015
,"odaban® Spray | Gel | Fußpuder
Rückgabe bei Nichtgefallen 
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,max. 60 Tage,,Begründung,Original,nein,https://odaban.de/pages/geld-zuruck-garantie,,Guthy-Renker International GmbH,
,"O'Keefe's Pflegeprodukte
Rückgabe bei Nichtgefallen
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,-,,Begründung,Original,nein,https://www.okeeffesco.de/,,Kaufmann Neuheiten GmbH,
,"RASCALS Babywindeln 
Erstattung oder Austausch bei Unzufriedenheit",-,-,Daueraktion,-,max. 30 Tage,,Begründung,Foto/Scan,nein,https://www.rascalsbaby.com/de-de/money-back-guarantee,https://www.mydealz.de/2572263,Rascals International Limited,22.05.2025
,► Weitere Geld-zurück-Aktionen mit anteiligem Cashback findet ihr im nächsten Tabellenblatt!,,,,,,,,,,,,,
,Alle Angaben ohne Gewähr!,,,,,,,,,,,,,
,Fehler oder weitere Aktion entdeckt?,,,,,,,,,,,,,
,► Sammelthread auf mydealz,,,,,,,,,,,,,
,► PN an CashBackBär oder TheNittyGritty,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,► Bereits abgelaufene Aktionen befinden sich in dieser separaten Tabelle achiviert.,,,,,,,,,,,,,
